Price,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Number_of_Facades,Swimming_Pool,State_of_the_Building
215000.0,Duffel,Apartment,APARTMENT,1.0,90.0,0,0.0,0,1.0,,1.0,,,,0.0,GOOD
225000.0,Anderlecht,Apartment,APARTMENT,2.0,78.0,0,0.0,0,,,,,,4.0,0.0,GOOD
158000.0,Hoboken,Apartment,GROUND_FLOOR,1.0,88.0,0,0.0,0,,,,,,2.0,0.0,TO_BE_DONE_UP
395000.0,Seneffe,House,VILLA,5.0,202.0,1,0.0,0,1.0,,,,3840.0,4.0,0.0,GOOD
210000.0,Mechelen,House,HOUSE,3.0,121.0,0,0.0,0,1.0,,,,114.0,,0.0,TO_RENOVATE
240000.0,Sint-Denijs-Westrem,Apartment,APARTMENT,1.0,,0,0.0,0,1.0,,,,,2.0,0.0,GOOD
340000.0,Neder-Over-Heembeek,Apartment,TRIPLEX,4.0,150.0,1,0.0,0,1.0,,,,,2.0,0.0,AS_NEW
460000.0,Ittre,House,HOUSE,3.0,221.0,1,0.0,0,,,,,457.0,,0.0,GOOD
325000.0,Hove,House,HOUSE,2.0,124.0,0,0.0,1,1.0,,1.0,,163.0,2.0,0.0,GOOD
345000.0,Zedelgem,House,VILLA,4.0,293.0,0,0.0,0,1.0,,,,637.0,4.0,0.0,TO_RENOVATE
99000.0,Fleurus,House,HOUSE,2.0,82.0,0,0.0,0,,,,,60.0,2.0,0.0,TO_RENOVATE
245000.0,Antwerpen,Apartment,APARTMENT,2.0,72.0,0,0.0,0,,,,,,2.0,0.0,JUST_RENOVATED
465000.0,Sint-Pauwels,House,HOUSE,4.0,175.0,0,0.0,0,,,,,345.0,3.0,0.0,
349000.0,Gent,House,HOUSE,3.0,110.0,0,0.0,0,1.0,,1.0,,66.0,,0.0,GOOD
398000.0,Antwerpen,House,HOUSE,4.0,180.0,0,0.0,0,1.0,,,,181.0,4.0,0.0,AS_NEW
195000.0,Boom,House,HOUSE,3.0,146.0,0,0.0,0,1.0,,,,55.0,2.0,0.0,TO_RENOVATE
195000.0,Lanquesaint,House,HOUSE,2.0,106.0,0,0.0,0,1.0,,,,792.0,,0.0,
387898.0,Lembeke,House,HOUSE,4.0,,0,0.0,0,1.0,,,,2332.0,,0.0,AS_NEW
345000.0,Antwerpen,Apartment,APARTMENT,2.0,116.0,0,0.0,0,,,,,,2.0,0.0,GOOD
195000.0,Etterbeek,Apartment,APARTMENT,1.0,64.0,0,0.0,0,,,,,,2.0,0.0,TO_RENOVATE
349000.0,Lembeek,House,HOUSE,4.0,129.0,0,0.0,0,,,,,50.0,2.0,0.0,JUST_RENOVATED
159000.0,Martelange,Apartment,APARTMENT,2.0,77.0,0,0.0,0,,,1.0,,,2.0,0.0,GOOD
385000.0,Halle,House,HOUSE,2.0,115.0,0,0.0,0,1.0,,1.0,,387.0,3.0,0.0,GOOD
339000.0,Waregem,Apartment,APARTMENT,2.0,92.0,0,0.0,0,1.0,,,,,,0.0,
453000.0,Ixelles,Apartment,APARTMENT,2.0,118.0,1,0.0,0,1.0,,,,,2.0,0.0,AS_NEW
174500.0,Brussels,Apartment,FLAT_STUDIO,0.0,30.0,1,0.0,0,,,,,,2.0,0.0,AS_NEW
6500000.0,Sprimont,House,MANSION,0.0,,0,0.0,0,,,,,0.0,,0.0,
245000.0,Lessines,Apartment,APARTMENT,2.0,75.0,0,0.0,0,1.0,,,,,,0.0,GOOD
199900.0,Temse,House,HOUSE,3.0,212.0,0,0.0,1,,,1.0,,140.0,1.0,0.0,TO_RENOVATE
189000.0,Geraardsbergen,House,HOUSE,2.0,190.0,0,0.0,0,1.0,,,,70.0,,0.0,TO_RENOVATE
269000.0,Heusden-Zolder,House,HOUSE,3.0,,1,0.0,0,1.0,,,,622.0,3.0,0.0,
449715.0,Merelbeke,House,HOUSE,3.0,155.0,0,0.0,0,,,,,217.0,2.0,0.0,
325000.0,Chiny,House,HOUSE,4.0,199.0,0,0.0,0,,,,,191.0,2.0,0.0,
375000.0,Braine-Le-Comte,House,VILLA,4.0,168.0,0,0.0,0,,,1.0,,859.0,4.0,0.0,GOOD
411000.0,Oostakker,Apartment,APARTMENT,3.0,112.0,1,0.0,0,1.0,,,,,,0.0,AS_NEW
399000.0,Liège,House,HOUSE,4.0,219.0,0,0.0,0,1.0,,1.0,,496.0,3.0,0.0,AS_NEW
269500.0,Zottegem,Apartment,APARTMENT,1.0,82.0,0,0.0,0,1.0,,,,,,0.0,GOOD
545000.0,Schoten,Apartment,DUPLEX,3.0,225.0,0,0.0,1,1.0,,,,,4.0,0.0,
395000.0,Schaerbeek,House,HOUSE,5.0,306.0,1,0.0,0,1.0,,1.0,,155.0,2.0,0.0,GOOD
165000.0,Péruwelz,House,HOUSE,3.0,175.0,0,0.0,0,,,,,450.0,2.0,0.0,GOOD
759000.0,Keerbergen,House,VILLA,4.0,267.0,0,0.0,0,1.0,,,,1454.0,4.0,0.0,AS_NEW
269000.0,Harelbeke,House,HOUSE,3.0,155.0,0,0.0,0,1.0,,,,120.0,2.0,0.0,JUST_RENOVATED
353500.0,Assenede,Apartment,DUPLEX,2.0,138.0,0,0.0,0,1.0,,,,,,0.0,GOOD
407005.0,Beveren-Waas,House,HOUSE,3.0,,0,0.0,0,,,,,0.0,,0.0,
399000.0,Knokke,Apartment,APARTMENT,0.0,40.0,0,0.0,0,,,,,,,0.0,GOOD
235000.0,Hoboken,Apartment,APARTMENT,2.0,91.0,0,0.0,0,,,,,,,0.0,AS_NEW
285000.0,Anderlecht,Apartment,APARTMENT,2.0,74.0,0,0.0,0,1.0,,1.0,,,,0.0,GOOD
349000.0,Sint-Michiels,House,HOUSE,2.0,144.0,0,0.0,0,1.0,,,,327.0,,0.0,GOOD
265000.0,Antwerpen (2020),Apartment,APARTMENT,2.0,84.0,0,0.0,0,1.0,,,,,,0.0,
328858.0,Forest,Apartment,APARTMENT,2.0,94.0,1,0.0,0,1.0,,,,,2.0,0.0,GOOD
749000.0,Kapellen,House,VILLA,4.0,273.0,1,0.0,1,1.0,,1.0,,777.0,4.0,0.0,AS_NEW
369000.0,Gent Sint-Denijs-Westrem,Apartment,APARTMENT,2.0,85.0,1,0.0,0,1.0,,,,,2.0,0.0,AS_NEW
820000.0,Gent,House,MANSION,6.0,382.0,0,0.0,0,1.0,,,,138.0,2.0,0.0,TO_BE_DONE_UP
475000.0,Jodoigne Dongelberg,House,VILLA,3.0,142.0,0,0.0,0,1.0,,1.0,,1623.0,4.0,1.0,GOOD
249000.0,Amay,House,HOUSE,3.0,155.0,0,0.0,0,1.0,,1.0,,944.0,3.0,0.0,GOOD
199000.0,Bruxelles,Apartment,FLAT_STUDIO,0.0,27.0,0,0.0,0,,,,,,2.0,0.0,AS_NEW
375000.0,Oostende,Apartment,APARTMENT,2.0,84.0,0,0.0,0,1.0,,,,,,0.0,
895000.0,Scherpenheuvel-Zichem,House,HOUSE,4.0,250.0,0,0.0,0,1.0,,,,3967.0,4.0,1.0,AS_NEW
279000.0,Brasschaat,Apartment,APARTMENT,2.0,91.0,0,0.0,0,1.0,,,,,2.0,0.0,JUST_RENOVATED
745000.0,Zottegem,House,VILLA,4.0,435.0,0,0.0,1,,,,,2437.0,,1.0,TO_BE_DONE_UP
230000.0,Auderghem,Apartment,APARTMENT,1.0,85.0,0,0.0,0,,,,,,,0.0,
460000.0,Woluwe-Saint-Lambert,Apartment,APARTMENT,2.0,92.0,1,0.0,0,1.0,,,,,4.0,0.0,AS_NEW
329000.0,Torhout,Apartment,PENTHOUSE,2.0,100.0,0,0.0,0,1.0,,,,,,0.0,GOOD
334000.0,Hoboken,House,HOUSE,3.0,127.0,0,0.0,0,1.0,,1.0,,184.0,2.0,0.0,GOOD
139000.0,Blankenberge,Apartment,FLAT_STUDIO,0.0,37.0,0,0.0,0,,,,,,,0.0,AS_NEW
479738.0,Bierbeek,House,HOUSE,3.0,176.0,0,0.0,0,,,,,508.0,,0.0,
319000.0,Vilvoorde,Apartment,APARTMENT,3.0,113.0,0,0.0,0,1.0,,,,,3.0,0.0,GOOD
249000.0,Sint-Truiden,Apartment,APARTMENT,2.0,85.0,0,0.0,0,1.0,,,,,,0.0,
135000.0,Libramont-Chevigny,Apartment,APARTMENT,1.0,55.0,0,0.0,0,,,,,,2.0,0.0,
330000.0,Forest,Apartment,APARTMENT,2.0,94.0,1,0.0,0,1.0,,,,,2.0,0.0,
289000.0,Oostende,Apartment,APARTMENT,2.0,100.0,0,0.0,0,1.0,,,,,,0.0,GOOD
499000.0,Antwerpen,Apartment,APARTMENT,3.0,138.0,1,0.0,0,,,,,,2.0,0.0,AS_NEW
168500.0,Kortrijk,House,HOUSE,4.0,135.0,0,0.0,0,1.0,,,,890.0,2.0,0.0,TO_RENOVATE
220000.0,Gent,Apartment,APARTMENT,2.0,91.0,0,0.0,0,1.0,,,,,2.0,0.0,TO_RENOVATE
995000.0,Ixelles,Apartment,APARTMENT,3.0,150.0,0,0.0,0,,,,,,2.0,0.0,AS_NEW
230000.0,Berloz,Apartment,APARTMENT,2.0,104.0,0,0.0,0,1.0,,1.0,,,4.0,0.0,
390000.0,Wepion,House,HOUSE,4.0,180.0,0,0.0,0,1.0,,,,780.0,2.0,0.0,GOOD
395000.0,Opwijk,House,HOUSE,4.0,170.0,0,0.0,0,1.0,,,,3699.0,3.0,0.0,TO_RENOVATE
199900.0,Deurne,Apartment,APARTMENT,2.0,98.0,0,0.0,0,1.0,,,,,2.0,0.0,GOOD
