Price,Type_of_Sale,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,State_of_the_Building
499000.0,,Geraardsbergen,APARTMENT,APARTMENT,5.0,526.0,False,0.0,,1.0,125.0,,,,,2.0,,
365000.0,,Astene,APARTMENT,APARTMENT,2.0,99.0,False,,,1.0,14.0,,,,,,,GOOD
149500.0,,Bouillon Corbion,HOUSE,HOUSE,5.0,156.0,False,0.0,,1.0,15.0,1.0,400.0,400.0,562.0,2.0,0.0,TO_RENOVATE
599000.0,,Schaerbeek,HOUSE,HOUSE,4.0,170.0,False,0.0,,1.0,13.0,,,,67.0,2.0,0.0,GOOD
999900.0,,WILRIJK,HOUSE,APARTMENT_BLOCK,3.0,200.0,False,,,1.0,20.0,,,,0.0,3.0,,GOOD
785000.0,,Antwerpen,APARTMENT,DUPLEX,3.0,240.0,False,,,,,1.0,83.0,83.0,,2.0,,AS_NEW
190000.0,,Mol,APARTMENT,APARTMENT,1.0,68.0,False,,,1.0,,,,,,3.0,,GOOD
649000.0,,Oudenaarde,HOUSE,MIXED_USE_BUILDING,4.0,338.0,False,0.0,,1.0,,,,,1250.0,4.0,,
845000.0,,MEIX-LE-TIGE,HOUSE,HOUSE,3.0,476.0,False,,,1.0,40.0,1.0,3000.0,3000.0,4200.0,4.0,,GOOD
795000.0,,Knokke,APARTMENT,APARTMENT,2.0,80.0,True,1.0,,1.0,,,,,,2.0,,GOOD
469000.0,,Eke,HOUSE,HOUSE,3.0,179.0,False,0.0,,,,,,,333.0,,,GOOD
595000.0,,ELSENE,APARTMENT,APARTMENT,3.0,121.0,False,,,1.0,,,,,,2.0,,GOOD
,,WANZE,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,,,,,,,,,,
399000.0,,LA LOUVIÈRE,APARTMENT,APARTMENT,3.0,144.0,True,0.0,,1.0,54.0,,,,,4.0,0.0,
199000.0,,Fumal,HOUSE,HOUSE,5.0,186.0,False,0.0,,,,,,,966.0,3.0,0.0,
585000.0,,Kampenhout,HOUSE,HOUSE,5.0,253.0,False,,,,,,,,2901.0,4.0,,TO_RENOVATE
748000.0,,AALTER,HOUSE,VILLA,4.0,286.0,False,,1.0,1.0,,,,,3632.0,4.0,,TO_BE_DONE_UP
195000.0,,MERKSEM,APARTMENT,APARTMENT,2.0,84.0,False,,,1.0,2.0,,,,,2.0,,GOOD
295000.0,,NIEUWPOORT,APARTMENT,APARTMENT,2.0,65.0,False,1.0,,1.0,5.0,,,,,2.0,,TO_BE_DONE_UP
275000.0,,Antwerpen,APARTMENT,APARTMENT,1.0,56.0,True,0.0,,1.0,6.0,,,,,,,AS_NEW
79000.0,,Quévy,HOUSE,HOUSE,3.0,119.0,False,0.0,,1.0,,1.0,131.0,131.0,340.0,2.0,0.0,TO_RENOVATE
195000.0,,Charleroi,HOUSE,MIXED_USE_BUILDING,4.0,207.0,True,0.0,,1.0,35.0,1.0,408.0,408.0,685.0,3.0,,GOOD
90000.0,,Havinnes,HOUSE,HOUSE,3.0,380.0,False,0.0,,,,,,,0.0,4.0,,
290000.0,,OUPEYE,HOUSE,HOUSE,3.0,186.0,False,0.0,1.0,1.0,40.0,,,,516.0,3.0,0.0,AS_NEW
320000.0,,ANS,HOUSE,BUNGALOW,3.0,204.0,False,,,1.0,46.0,1.0,621.0,621.0,984.0,,,JUST_RENOVATED
495000.0,,Bilzen,HOUSE,FARMHOUSE,5.0,216.0,False,,,,,,,,4116.0,,,
175000.0,,Lodelinsart,HOUSE,HOUSE,3.0,120.0,False,0.0,,,,1.0,452.0,452.0,441.0,3.0,,TO_BE_DONE_UP
299000.0,,Wondelgem,HOUSE,HOUSE,3.0,145.0,False,,,,,,,,69.0,,,TO_BE_DONE_UP
