Price,Type_of_Sale,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,State_of_the_Building
1250000.0,0,Knokke-Heist,APARTMENT,APARTMENT,2.0,75.0,False,1.0,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(2,)",0.0,JUST_RENOVATED
1650000.0,0,Knokke,APARTMENT,APARTMENT,3.0,125.0,False,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,AS_NEW
129500.0,0,Verviers,APARTMENT,APARTMENT,3.0,72.0,False,0.0,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(2,)",0.0,GOOD
269000.0,0,Geraardsbergen,HOUSE,HOUSE,4.0,221.0,False,0.0,"(None,)",1.0,"(60,)","(1,)","(1100,)","(1100,)","(1224,)","(4,)",,TO_RESTORE
239000.0,0,Saint-Nicolas,APARTMENT,APARTMENT,4.0,100.0,False,0.0,"(None,)",1.0,"(20,)","(1,)","(32,)","(32,)","(None,)","(2,)",0.0,AS_NEW
149000.0,0,OLLOY-SUR-VIROIN,HOUSE,HOUSE,4.0,188.0,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(727,)","(4,)",,TO_RENOVATE
199000.0,0,Trooz,HOUSE,HOUSE,2.0,78.0,False,0.0,"(None,)",1.0,"(15,)","(1,)","(96,)","(96,)","(240,)","(3,)",0.0,GOOD
199000.0,0,WILRIJK,APARTMENT,GROUND_FLOOR,1.0,50.0,False,,"(None,)",1.0,"(11,)","(None,)","(None,)","(None,)","(None,)","(2,)",,GOOD
475000.0,0,Uccle,APARTMENT,APARTMENT,3.0,139.0,False,0.0,"(None,)",1.0,"(8,)","(None,)","(None,)","(None,)","(None,)","(3,)",0.0,TO_BE_DONE_UP
252000.0,0,Lier,APARTMENT,APARTMENT,2.0,90.0,True,,"(None,)",1.0,"(10,)","(None,)","(None,)","(None,)","(None,)","(2,)",,
349000.0,0,AYWAILLE,APARTMENT,DUPLEX,3.0,137.0,True,0.0,"(None,)",1.0,"(35,)","(None,)","(None,)","(None,)","(None,)","(4,)",0.0,AS_NEW
399000.0,0,Antwerpen,APARTMENT,APARTMENT,2.0,86.0,False,,"(None,)",1.0,"(19,)","(None,)","(None,)","(None,)","(None,)","(2,)",0.0,AS_NEW
325000.0,0,Roeselare,APARTMENT,APARTMENT,3.0,94.0,False,,"(None,)",1.0,"(5,)","(1,)","(29,)","(29,)","(None,)","(None,)",,GOOD
369000.0,0,Gent Sint-Denijs-Westrem,APARTMENT,APARTMENT,2.0,85.0,True,0.0,"(None,)",1.0,"(5,)","(None,)","(None,)","(None,)","(None,)","(2,)",0.0,AS_NEW
300000.0,0,Laeken,APARTMENT,PENTHOUSE,2.0,105.0,True,1.0,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(2,)",,GOOD
235000.0,0,Bruxelles  2,APARTMENT,APARTMENT,2.0,95.0,False,0.0,"(None,)",1.0,"(6,)","(None,)","(None,)","(None,)","(None,)","(2,)",,
345000.0,0,Evere,APARTMENT,APARTMENT,1.0,89.0,True,1.0,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(2,)",0.0,AS_NEW
179900.0,0,Pont-à-Celles,HOUSE,HOUSE,3.0,230.0,False,0.0,"(None,)",1.0,"(118,)","(1,)","(470,)","(470,)","(896,)","(2,)",0.0,TO_RENOVATE
435000.0,0,De Panne,APARTMENT,APARTMENT,2.0,81.0,False,1.0,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,
535000.0,0,EMBOURG,HOUSE,HOUSE,3.0,210.0,True,,"(1,)",1.0,"(14,)","(1,)","(900,)","(900,)","(1115,)","(4,)",,GOOD
240000.0,0,SINT-DENIJS-WESTREM,APARTMENT,SERVICE_FLAT,1.0,,False,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(None,)","(2,)",,GOOD
175000.0,0,LOUVAIN-LA-NEUVE,APARTMENT,FLAT_STUDIO,1.0,30.0,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(2,)",,
419000.0,0,Antwerpen (2000),HOUSE,HOUSE,4.0,225.0,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(0,)","(None,)",,
185000.0,0,Wetteren,HOUSE,HOUSE,2.0,80.0,False,0.0,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(80,)","(2,)",0.0,TO_RENOVATE
,0,RUMST,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,
142500.0,0,Blankenberge,APARTMENT,APARTMENT,1.0,44.0,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,AS_NEW
1390000.0,0,ANTWERPEN 2018,HOUSE,APARTMENT_BLOCK,11.0,410.0,False,,"(None,)",1.0,"(2,)","(1,)","(86,)","(86,)","(241,)","(None,)",,GOOD
689000.0,0,Brugge,APARTMENT,APARTMENT,3.0,176.0,False,0.0,"(None,)",1.0,"(24,)","(None,)","(None,)","(None,)","(None,)","(3,)",0.0,
340000.0,0,Schaerbeek,APARTMENT,APARTMENT,2.0,78.0,True,,"(None,)",1.0,"(7,)","(None,)","(None,)","(None,)","(None,)","(2,)",0.0,AS_NEW
319500.0,0,MARCHIN,HOUSE,HOUSE,3.0,136.0,True,0.0,"(None,)",1.0,"(29,)","(1,)","(250,)","(250,)","(415,)","(2,)",,AS_NEW
619000.0,0,BLAASVELD,HOUSE,HOUSE,5.0,180.0,False,,"(None,)",1.0,"(15,)","(1,)","(95,)","(95,)","(270,)","(3,)",,
285000.0,0,Zeebrugge,APARTMENT,APARTMENT,2.0,98.0,False,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(None,)","(2,)",,GOOD
480000.0,0,Gent Sint-Amandsberg,HOUSE,HOUSE,3.0,135.0,False,0.0,"(None,)",1.0,"(None,)","(1,)","(177,)","(177,)","(263,)","(3,)",0.0,
